 FECHA ; RENOVACION_ESAL ; INSCRIPCION_ACTAS_DOC_ESAL ; CERTIFICADOS_ESAL ; FORMULARIOS_ESAL ; INGRESOS_TOTAL_DIA ; MATRICULAS_ESAL ; MATRICULA_RUP ; INGRESOS_RENOVACIONES ; INGRESOS_CERTIFICADOS ; INGRESOS_EXPEDICION_COPIAS ; INGRESOS_MATRICULAS ; INGRESOS_ESAL ; INSCRIPCION_RUP ; RENOVACION_RUP ; ACTUALIZACION_RUP ; CERTIFICADOS_RUP ; INGRESOS_RUP ; INGRESOS_RUNEOL ; INGRESOS_SERVICIOS_ESPECIALES ; MATRICULA_COMERCIANTE ; RENOVADOS_COMERCIANTE ; RENOVADOS_ESAL ; RENOVADOS_RUP ; CANTIDAD_RENOVACIONES ; CANT_AFIL_FIDELIZADOS ; AFILIADOS_RETIRADOS ; CANT_AFIL_NUEVOS_DESP_CAMP_REN ; CANT_AFIL_NUEVOS_EN_CAMP_REN ; TOTAL_CANT_AFILIADOS ; FORMULARIOS_Y_COPIAS_RUP ; AFIL_INGRESOS_FIDEL ; AFIL_INGRESOS_NUEVOS ; INGRESOS_DERECHOS_DE_I ; INGRESOS_FORMU_DE_REGISTRO_M 
3/01/2021; $809,626,350 ; $15,340,900 ; $13,787,500 ; $12,443,300 ; $16,566,098,800 ;85;0; $14,892,735,732 ; $141,696,200 ;$ 58,55; $137,461,000 ; $851,198,050 ; $46,384,000 ; $130,314,000 ; $5,966,000 ; $23,585,000 ; $206,249,000 ; $3,510,000 ; $4,630,770 ;1994;26225;1870;157;26889;1136;7;0;16;1152;0; $987,620,850.00 ; $2,192,200.00 ; $139,937,400.00 ; $188,622,100.00 
4/01/2021; $154,682,600 ; $10,689,600 ; $7,729,800 ; $2,697,000 ; $3,642,955,906 ;44;0; $2,458,056,800 ; $97,782,200 ;$ 29,27; $77,168,000 ; $175,799,000 ; $66,364,000 ; $597,588,000 ; $6,280,000 ; $31,058,000 ; $701,290,000 ;$ 630,00; $8,466,282 ;1174;4729;341;834;5170;0;102;5;0;5;0; $273,900.00 ; $1,665,400.00 ; $82,950,850.00 ; $40,783,500.00 
5/01/2021; $64,403,800 ; $10,434,750 ; $7,670,400 ; $2,101,700 ; $2,049,872,969 ;62;0; $1,587,439,550 ; $96,858,000 ;$ 76,92; $84,227,000 ; $84,610,650 ; $42,264,000 ; $(2,924,000); $6,908,000 ; $27,030,000 ; $73,278,000 ;$ 450,00; $6,111,803 ;1227;3339;244;167;3536;0;0;18;0;18;0; $-   ; $1,912,800.00 ; $85,970,350.00 ; $30,850,700.00 
6/01/2021; $84,680,600 ; $11,486,750 ; $9,254,300 ; $2,083,200 ; $1,693,718,772 ;66;0; $1,171,477,030 ; $100,159,200 ;$ 75,77; $101,959,000 ; $107,504,850 ; $52,830,000 ; $(3,500,000); $9,106,000 ; $26,659,000 ; $85,095,000 ;$ 630,00; $4,011,324 ;1522;2807;246;37;2963;0;1;12;0;12;0; $130,500.00 ; $1,796,420.00 ; $93,573,700.00 ; $29,232,900.00 
7/01/2021; $47,699,450 ; $12,239,300 ; $8,843,800 ; $1,692,600 ; $1,382,107,666 ;73;0; $911,536,700 ; $102,231,100 ;$ 37,88; $102,960,000 ; $70,475,150 ; $32,285,000 ; $(4,087,000); $10,676,000 ; $24,698,000 ; $63,572,000 ;$ 180,00; $4,858,432 ;1569;2473;184;1;2615;0;0;25;0;25;0; $-   ; $3,049,400.00 ; $99,106,700.00 ; $27,149,700.00 
8/01/2021; $29,067,250 ; $12,556,900 ; $9,775,400 ; $1,463,200 ; $1,253,092,984 ;69;0; $781,084,950 ; $106,303,050 ;$ 18,37; $116,928,000 ; $52,862,750 ; $32,872,000 ; $(3,522,000); $9,420,000 ; $22,260,000 ; $61,030,000 ;$ 360,00; $4,642,216 ;1680;2174;148;1;2301;0;1;24;0;24;0; $-   ; $2,793,400.00 ; $103,743,050.00 ; $26,120,600.00 
9/01/2021; $32,462,200 ; $11,122,950 ; $8,849,800 ; $1,190,400 ; $1,134,704,975 ;60;0; $663,244,861 ; $108,280,150 ;$ 25,26; $104,870,000 ; $53,625,350 ; $41,677,000 ; $(2,348,000); $14,758,000 ; $20,352,000 ; $74,439,000 ;$ 225,00; $4,119,108 ;1550;1853;113;0;1980;0;77;20;0;20;0; $-   ; $1,598,100.00 ; $102,508,450.00 ; $23,367,800.00 
10/01/2021; $23,458,050 ; $9,401,350 ; $8,591,700 ; $1,128,400 ; $877,196,316 ;59;0; $471,963,850 ; $99,759,500 ;$ 7,46; $96,180,000 ; $42,579,500 ; $21,165,000 ;-$ 587,00; $7,536,000 ; $22,949,000 ; $51,063,000 ;$ 270,00; $4,054,554 ;1379;1372;106;0;1465;0;1;6;0;6;0; $-   ; $4,870,300.00 ; $92,408,450.00 ; $18,910,000.00 
11/01/2021; $20,658,000 ; $11,024,200 ; $9,029,600 ;$ 985,80; $901,170,005 ;68;0; $470,803,547 ; $107,355,200 ;$ 110,21; $94,634,000 ; $41,697,600 ; $23,480,000 ;$ 587,00; $16,014,000 ; $20,670,000 ; $60,751,000 ;$ 135,00; $5,976,000 ;1358;1346;79;1;1428;0;1;8;0;8;0; $-   ; $4,611,300.00 ; $101,380,250.00 ; $18,327,200.00 
12/01/2021; $22,420,000 ; $9,707,300 ; $8,025,700 ;$ 911,40; $802,656,228 ;48;0; $444,228,350 ; $89,921,450 ;$ 43,62; $61,124,000 ; $41,064,400 ; $15,849,000 ; $(1,174,000); $9,420,000 ; $16,589,000 ; $40,684,000 ;$ 57,30; $7,866,554 ;850;1068;84;0;1149;0;2;18;0;18;0; $-   ; $5,395,700.00 ; $104,485,450.00 ; $13,181,100.00 
